TEST_NAME_ABBREVIATION	source_unit_clean	n_records	n_subjects	p_missing_values	value_percentiles	p_NA_AA_A_LL_L_N_H_HH
fish-i-kll	NA	121	87	100	[ _, _, _, _, _, _, _, _, _, _, _,  ]	NA
s-keliakia,seulonta	NA	238	232	100	[ _, _, _, _, _, _, _, _, _, _, _,  ]	NA
b-triovanh	NA	73	73	100	[ _, _, _, _, _, _, _, _, _, _, _,  ]	NA
s-b12-vitamiini,transkobalamiiniii:eensitoutunut,seerumista	pmol/l	51	44	NA	NA	NA
s-prostataspesifinenantigeeni,vapaa,osuus(ko)	NA	233	132	100	[ _, _, _, _, _, _, _, _, _, _, _,  ]	NA
u-baktalv,norfloks	NA	98	64	100	[ _, _, _, _, _, _, _, _, _, _, _,  ]	NA
b-probnp-o	ng/l	115	82	0	[ 61, 185.6, 300.6, 537.6, 835, 1335, 1813, 2214, 2953, 5277, 8806,  ]	NA
pika-keto	NA	28	23	NA	NA	NA
s-cic	NA	119	114	98	[ 4, 4.4, 4.8, 5.2, 5.6, 6, 6.4, 6.8, 7.2, 7.6, 8,  ]	NA
li-lymf	%	91	62	0	[ 0, 22, 48, 71, 79, 86, 94, 96, 98, 99, 100,  ]	NA
li-kkab	NA	128	124	100	[ _, _, _, _, _, _, _, _, _, _, _,  ]	NA
-crneag	NA	77	65	100	[ _, _, _, _, _, _, _, _, _, _, _,  ]	NA
s-c-reaktiivinenproteiini,herkkä	mg/l	120	117	0	[ 0.2, 0.3, 0.532, 0.7, 1.06, 1.55, 2.1, 3.642, 6.04, 8.43, 32.5,  ]	NA
pt-hengalp	NA	299	281	100	[ _, _, _, _, _, _, _, _, _, _, _,  ]	NA
s-rgadc1e	NA	48	46	NA	NA	NA
naudanliha	u/ml	13	13	NA	NA	NA
ekgvieri	NA	429	346	100	[ 2.6, 2.6, 2.6, 2.6, 2.6, 2.6, 2.6, 2.6, 2.6, 2.6, 2.6,  ]	NA
p-follikkeliastimuloivahormoni	u/l	234	215	0	[ 0.8, 3.56, 5.16, 6.49, 8.2, 11.4, 21.52, 35.46, 56.42, 79.81, 153.8,  ]	NA
prolaktiini,makro,seerumista	NA	6	6	NA	NA	NA
u-alvhu7b	NA	57	56	100	[ _, _, _, _, _, _, _, _, _, _, _,  ]	NA
li-neut+eo	e6/l	80	60	2	[ 0, 0, 0, 0, 0, 3, 5, 12.8, 21, 80.6, 640,  ]	NA
bentsodiatsepiinitkval	NA	381	149	100	[ _, _, _, _, _, _, _, _, _, _, _,  ]	NA
buprenorfiini,kval	NA	381	149	100	[ _, _, _, _, _, _, _, _, _, _, _,  ]	NA
metadoni,kval	NA	381	149	100	[ _, _, _, _, _, _, _, _, _, _, _,  ]	NA
-hmpvag	NA	74	58	100	[ _, _, _, _, _, _, _, _, _, _, _,  ]	NA
li-monos	%	309	184	0	[ 0, 1, 3, 5, 7, 9, 11, 14, 20, 29.2, 71,  ]	NA
s-alb/li	g/l	54	51	0	[ 30, 34, 35, 36.9, 38, 38, 39, 41, 42, 43, 48,  ]	NA
askivuosia	u/24h	177	177	0	[ 0, 0, 0, 0, 0, 0, 2.59999999999999, 10.4, 20, 30, 70,  ]	NA
p-hcg,pika-hcg	u/l	15	11	NA	NA	NA
ts-kolonoskopianäyte,suolisto-syöpäseulonta	NA	74	73	100	[ _, _, _, _, _, _, _, _, _, _, _,  ]	NA
p-reniini,konsentraatio	mu/l	11	11	NA	NA	NA
s-metanefriinijanormetanefriini	NA	15	15	NA	NA	NA
ts-padgas	NA	138	132	100	[ _, _, _, _, _, _, _, _, _, _, _,  ]	NA
u-bakts	NA	895	520	100	[ _, _, _, _, _, _, _, _, _, _, _,  ]	[  0][  0,  0,  0,  0,100,  0,  0]
s-tsh-abr	NA	251	181	100	[ _, _, _, _, _, _, _, _, _, _, _,  ]	NA
b-tni-v	NA	275	162	92	[ 0.05, 0.05, 0.05, 0.05, 0.05, 0.05, 0.05, 0.121, 0.534, 2.424, 644,  ]	NA
p-porf-o	NA	280	254	100	[ _, _, _, _, _, _, _, _, _, _, _,  ]	NA
f-pporf	nmol/g	58	50	NA	NA	NA
b-geneseq	NA	304	291	100	[ _, _, _, _, _, _, _, _, _, _, _,  ]	NA
c-reaktiivinenproteiini,pika,tehdäänitse	NA	828	565	100	[ _, _, _, _, _, _, _, _, _, _, _,  ]	[ 97][  0,  0,  0,  0,  3,  0,  0]
ex-syto	NA	465	203	100	[ _, _, _, _, _, _, _, _, _, _, _,  ]	NA
osmolaliteetti,seerumi	mosm/kgh2o	18	15	NA	NA	NA
p-lipoa1	g/l	121	116	0	[ 0.87, 1.15, 1.23, 1.27, 1.34, 1.42, 1.5, 1.58, 1.66, 1.8, 2.34,  ]	NA
pt-naistp	NA	117	110	100	[ _, _, _, _, _, _, _, _, _, _, _,  ]	NA
s-afsuol2	NA	161	150	100	[ _, _, _, _, _, _, _, _, _, _, _,  ]	NA
ps-srtep,tk	NA	232	203	100	[ _, _, _, _, _, _, _, _, _, _, _,  ]	NA
s-hcvabag	NA	42	37	NA	NA	NA
vedolitsumabi,pitoisuusjavasta-aine-paketti	NA	8	8	NA	NA	NA
s-vedolab	NA	1529	491	100	[ _, _, _, _, _, _, _, _, _, _, _,  ]	NA
li-oreksa	NA	13	13	NA	NA	NA
-etohgc	NA	19	16	NA	NA	NA
skeli-s	NA	19	19	NA	NA	NA
monos	NA	298	191	96	[ 6.1, 7.06, 7.34, 7.64, 7.96, 8.6, 9.16, 9.96, 11.88, 13.88, 14.5,  ]	NA
u-tutk-1-,sg	NA	1706	764	100	[ _, _, _, _, _, _, _, _, _, _, _,  ]	[100][NA,NA,NA,NA,NA,NA,NA]
s-cora9e	NA	147	146	100	[ _, _, _, _, _, _, _, _, _, _, _,  ]	NA
s-rbere1e	NA	68	67	100	[ _, _, _, _, _, _, _, _, _, _, _,  ]	NA
äänesag/ta	NA	42	40	NA	NA	NA
transferiininrautakyllästeisyys,seerumista,paastotilassa	paketti	16	14	NA	NA	NA
s-metanef	nmol/l	118	92	0	[ 0.1, 0.1, 0.1, 0.11, 0.2, 0.2, 0.2, 0.2, 0.3, 0.3, 1.4,  ]	NA
hcgb-v/hcg	NA	67	54	100	[ _, _, _, _, _, _, _, _, _, _, _,  ]	NA
-hsv1vi	NA	7	7	NA	NA	NA
s-rgadc1e	u/ml	154	149	0	[ 0, 0, 0, 0, 0, 0, 0.01, 0.04, 0.322, 2.524, 84.2,  ]	NA
s-mypn-abg	eiu	50	46	NA	NA	NA
fs-alaniiniaminotransferaasi	u/l	407	285	0	[ 5, 11.6, 14, 16, 19, 21, 24, 28, 34.8, 48, 268,  ]	NA
fs-b12-vitamiini	pmol/l	20	19	NA	NA	NA
f-hemoglobiini2	NA	10	9	NA	NA	NA
b-pnh-leuk	NA	68	64	100	[ _, _, _, _, _, _, _, _, _, _, _,  ]	NA
cd19	NA	81	62	100	[ _, _, _, _, _, _, _, _, _, _, _,  ]	NA
u-glukoosi,kval	NA	198	134	100	[ _, _, _, _, _, _, _, _, _, _, _,  ]	NA
rte-cd4	NA	14	12	NA	NA	NA
naivit-cd8	NA	14	13	NA	NA	NA
tem-cd8	NA	19	17	NA	NA	NA
cd4/cd8suh	NA	30	24	NA	NA	NA
-crp-vt	mg/l	10	7	NA	NA	NA
p-ebvnh	iu/ml	496	172	0	[ 21, 48, 66, 93, 167, 269, 480, 890, 1805, 5267, 1e+06,  ]	NA
s-koiheie	u/ml	67	66	0	[ 0.01, 0.396, 0.724, 1.706, 2.27, 3.71, 5.94, 11.12, 17.88, 34.28, 66.9,  ]	NA
s-pähkryh	NA	24	23	NA	NA	NA
b-tb1	iu/ml	8	7	NA	NA	NA
b-erytroblastit,absoluuttiset,automaattidiffi	NA	182	149	100	[ _, _, _, _, _, _, _, _, _, _, _,  ]	NA
bm-fuus-mr	NA	248	235	100	[ _, _, _, _, _, _, _, _, _, _, _,  ]	NA
b-kml-qr	NA	1532	168	100	[ _, _, _, _, _, _, _, _, _, _, _,  ]	NA
vb-het-oks	NA	466	90	100	[ _, _, _, _, _, _, _, _, _, _, _,  ]	NA
s-biofmc	NA	971	892	100	[ _, _, _, _, _, _, _, _, _, _, _,  ]	[ 91][  0,  0,  0,  0,  9,  0,  0]
-lisäma1	NA	356	351	100	[ _, _, _, _, _, _, _, _, _, _, _,  ]	NA
b-ngsmmt2	NA	14	14	NA	NA	NA
gluk60min	NA	356	343	2	[ 0, 5.84, 6.9, 7.6, 8.58, 9.4, 10.3, 11.29, 12.5, 14.56, 24.6,  ]	NA
u-chlamydiatrachomatis,nukleiinihappovirtsasta	NA	17	15	NA	NA	NA
rnp-a-ib	NA	104	100	100	[ _, _, _, _, _, _, _, _, _, _, _,  ]	NA
-alb	g/l	87	76	0	[ 2.7, 6.72, 10.92, 12.18, 13.8, 17, 19.62, 23.9, 26.7, 29.92, 39.3,  ]	NA
ua-hco3-st	mmol/l	351	345	0	[ 8, 16, 17, 18, 19, 20, 20, 21, 22, 22, 27,  ]	NA
s-pin1abg	eiu	206	192	0	[ 27, 51.5, 66, 79, 88, 96.5, 107, 114.5, 128, 144.5, 188,  ]	NA
s-cob5abg	eiu	174	162	0	[ 20, 23, 26, 33, 38, 42.5, 50, 62.1, 72, 85, 129,  ]	NA
s-infbab	eiu	75	70	0	[ 20, 37, 45.8, 63.2, 68.2, 79, 87, 108.2, 125, 138.4, 193,  ]	NA
mb-hb-co	%	450	160	0	[ 0.1, 0.8, 0.9, 1, 1.1, 1.2, 1.3, 1.4, 1.5, 1.7, 4.8,  ]	NA
mb-pco2	kpa	3009	257	0	[ 2.9, 4.7, 4.98, 5.2, 5.39, 5.59, 5.84, 6.19, 6.5, 6.74, 10.2,  ]	NA
mb-po2	kpa	3006	255	0	[ 2.7, 4.4, 4.8, 5.3, 6.1, 9.5, 10.8, 11.7, 12.6, 13.9, 27.2,  ]	NA
p-tyreoideaperoksidaasi,vasta-aineet	NA	15	15	NA	NA	NA
s-aldol	NA	587	503	100	[ _, _, _, _, _, _, _, _, _, _, _,  ]	[ 80][  0, 17,  0,  0,  2,  0,  0]
p-gluk-2t	mmol/l	460	315	0	[ 2.4, 4.6, 5.3, 5.8, 6.2, 6.6, 7.14, 7.9, 9, 11, 22.5,  ]	NA
-pyör.s.	e6/ml	669	510	0	[ 0, 0.2, 0.3, 0.4, 0.6, 0.8, 1.1, 1.5, 2.04, 3.4, 41,  ]	[100][NA,NA,NA,NA,NA,NA,NA]
hb-vieri	NA	360	223	0	[ 70, 98, 112, 121, 128, 132, 136, 141, 145.2, 152.1, 182,  ]	NA
gluk-vieri	NA	297	187	0	[ 3.7, 5.1, 5.4, 5.8, 6.2, 6.7, 7.1, 8, 8.9, 11.06, 30,  ]	NA
ca-ionvier	NA	8	8	NA	NA	NA
pikacrp	mg/l	574	198	0	[ 0, 8, 8, 8, 8, 8, 8, 8, 14, 27.7, 160,  ]	NA
gavanho	NA	19	15	NA	NA	NA
s-tpo-ab	NA	213	201	100	[ _, _, _, _, _, _, _, _, _, _, _,  ]	NA
sy-mn	%	43	40	NA	NA	NA
chlamydiatrachomatis,nukleiinihappo(kval)	NA	269	197	100	[ _, _, _, _, _, _, _, _, _, _, _,  ]	NA
tuberkuloosibakteeri,värjäysjaviljely,ysköksestä	NA	90	45	NA	NA	NA
b-hbfvol	ml	11	11	NA	NA	NA
s-rubeabg	eiu	79	75	0	[ 18, 21.8, 24.6, 29, 34.2, 43, 47.8, 61.6, 86.8, 101.2, 142,  ]	NA
seeruminkokonaisiga-pitoisuusphadiaprimella	NA	79	79	100	[ _, _, _, _, _, _, _, _, _, _, _,  ]	NA
du-oksal	NA	209	165	100	[ _, _, _, _, _, _, _, _, _, _, _,  ]	NA
b-xkoever	NA	339	266	100	[ _, _, _, _, _, _, _, _, _, _, _,  ]	NA
p-inr-hy	NA	19875	566	33	[ 0.9, 1.9, 2.1, 2.3, 2.4, 2.6, 2.7, 2.9, 3.1, 3.5, 82,  ]	[100][NA,NA,NA,NA,NA,NA,NA]
keliakia,vasta-ainetutkimus,seerumista	NA	55	54	100	[ _, _, _, _, _, _, _, _, _, _, _,  ]	NA
ab-happamuusaste	NA	246	188	7	[ 6.99, 7.32, 7.3772, 7.4, 7.42, 7.43, 7.44, 7.45, 7.47, 7.49, 7.6,  ]	NA
transferriinisaturaatio	%	126	114	0	[ 2.3, 8.25, 10.6, 14.5, 16.1, 18.65, 21, 25.95, 31.2, 39.85, 51.3,  ]	NA
u-virtsanirtosolututkimus	NA	121	80	100	[ _, _, _, _, _, _, _, _, _, _, _,  ]	NA
b-ghba1c-oma	%	360	85	0	[ 5.2, 5.7, 5.9, 6, 6.2, 6.4, 6.7, 6.9, 7.4, 8.2, 11.2,  ]	NA
b-hla2prk	NA	144	136	100	[ _, _, _, _, _, _, _, _, _, _, _,  ]	NA
b-vrabtus	NA	308	194	100	[ _, _, _, _, _, _, _, _, _, _, _,  ]	NA
gran	%	206	153	0	[ 12, 26, 33, 42, 46, 51, 56, 61, 67, 73, 84.3,  ]	NA
-hhv6nho	NA	115	101	100	[ _, _, _, _, _, _, _, _, _, _, _,  ]	NA
b-hla-keli	NA	71	70	100	[ _, _, _, _, _, _, _, _, _, _, _,  ]	NA
ts-kromos	NA	322	298	100	[ _, _, _, _, _, _, _, _, _, _, _,  ]	NA
s-evircf	titre	402	348	0	[ 8, 8, 8, 8, 8, 8, 16, 16, 16, 32, 256,  ]	NA
-parainfluenssa2-virus,nukleiinihappo(kval)	NA	29	22	NA	NA	NA
-respiratoristenmikrobientutkimus	NA	101	79	100	[ _, _, _, _, _, _, _, _, _, _, _,  ]	NA
s-neutrofiiliensytoplasma-antigeeni,vasta-ainee	NA	20	17	NA	NA	NA
u-immunofiksaatiotutkimus,virtsa	NA	9	8	NA	NA	NA
s-proteiinifraktioidengammafraktio	g/l	84	34	NA	NA	NA
pleuranesteenirtosolututkimus	NA	73	57	100	[ _, _, _, _, _, _, _, _, _, _, _,  ]	NA
-tuberkuloosibakteeri,viljely(sisältääainamyös	NA	60	30	NA	NA	NA
b-lymfosyytit,erittely	NA	16	12	NA	NA	NA
s-vete	NA	89	84	100	[ _, _, _, _, _, _, _, _, _, _, _,  ]	NA
s-protks	g/l	215	158	0	[ 42, 57.08, 61, 64, 65, 67, 68, 70, 72.76, 75.44, 86,  ]	NA
-palovvi	NA	664	151	100	[ _, _, _, _, _, _, _, _, _, _, _,  ]	NA
p-prealb	mg/l	116	103	0	[ 0.27, 107.5, 169, 182, 196, 211.5, 228, 245, 259, 288, 375,  ]	NA
u-epiteelisolu	e6/l	59	55	0	[ 0.3, 0.68, 0.9, 1.38, 2.1, 3.8, 5.38, 7.26, 12.6, 24.44, 104.4,  ]	NA
s-karsinoembryonaalinenantigeeni	NA	52	52	100	[ _, _, _, _, _, _, _, _, _, _, _,  ]	NA
b-hemafc	form	50	44	NA	NA	NA
l-eos-m	NA	715	325	56	[ 0, 0, 0, 1, 1, 1, 2, 2, 3, 4.80000000000001, 14,  ]	NA
ihottumanäytteenhistologinentutkimus	NA	217	190	100	[ _, _, _, _, _, _, _, _, _, _, _,  ]	NA
pf-chylus	NA	145	106	100	[ _, _, _, _, _, _, _, _, _, _, _,  ]	NA
-sienlm	NA	199	162	100	[ _, _, _, _, _, _, _, _, _, _, _,  ]	NA
pt-sydrtuä	NA	139	132	100	[ _, _, _, _, _, _, _, _, _, _, _,  ]	NA
kalsium,albumiinikorjattu,plasmasta	mmol/l	70	61	0	[ 2.25, 2.3, 2.35, 2.37, 2.386, 2.415, 2.424, 2.453, 2.49, 2.53, 2.79,  ]	NA
s-beeta-1	g/l	258	224	0	[ 2.9, 3.7, 3.84, 4, 4.2, 4.35, 4.5, 4.6, 4.76, 5.2, 10.6,  ]	NA
d.pteronys	u/ml	111	108	0	[ 0.02, 0.39, 0.47, 0.56, 0.66, 0.91, 1.2, 1.7, 2.64, 5.69, 84.7,  ]	NA
s-allige,koivu/björk	NA	92	91	100	[ _, _, _, _, _, _, _, _, _, _, _,  ]	NA
b-hla-bw	form	44	44	NA	NA	NA
sy-l/liusk	NA	335	292	100	[ _, _, _, _, _, _, _, _, _, _, _,  ]	NA
p-tyroksiini,vapaa(ko)	pmol/l	214	153	0	[ 10.7, 13, 13, 14, 14, 15, 16, 16, 17, 18, 23,  ]	NA
pt-obduktio,aikuinen	NA	17	17	NA	NA	NA
s-spnabnv	NA	318	183	100	[ _, _, _, _, _, _, _, _, _, _, _,  ]	NA
cmvnho	NA	19	18	NA	NA	NA
verenvalkosolujenerittelylaskennanmikrosk.tarkistus	NA	351	219	100	[ _, _, _, _, _, _, _, _, _, _, _,  ]	NA
p-k/na	NA	321	184	100	[ _, _, _, _, _, _, _, _, _, _, _,  ]	NA
oxy	NA	141	18	NA	NA	NA
ulosteenshigella/eiec,nukleiinihaponosuus	NA	66	63	100	[ _, _, _, _, _, _, _, _, _, _, _,  ]	NA
ulosteenkampylobakteeri,nukleeniinihaponosoitus	NA	63	60	100	[ _, _, _, _, _, _, _, _, _, _, _,  ]	NA
-pncaag	NA	188	169	100	[ _, _, _, _, _, _, _, _, _, _, _,  ]	NA
p-probnp(ksks)	NA	67	62	100	[ _, _, _, _, _, _, _, _, _, _, _,  ]	NA
perustutkimus,esitiedot(360u-tutkesi)	NA	203	158	100	[ _, _, _, _, _, _, _, _, _, _, _,  ]	NA
s-adali	mg/l	717	452	1	[ 0.01, 4.416, 6.308, 7.912, 9.184, 10.7, 12, 13.072, 15, 17.824, 23.92,  ]	NA
mb-isoentsyyminosuus	NA	26	25	NA	NA	NA
f-clostridiumdifficile,toksigeeni,nukleiinihappo	NA	7	6	NA	NA	NA
pikacovid-19-koronavirustauti,nukleiinihappo(kval),(-ncovnho)	NA	10	6	NA	NA	NA
fl-trhi-vi	NA	264	150	100	[ _, _, _, _, _, _, _, _, _, _, _,  ]	NA
fp-jgluk	mmol/l	90	90	0	[ 5, 5.8, 6.5, 6.8, 7.1, 7.4, 7.84, 8.46, 9.22, 10.32, 17.8,  ]	NA
s-vehnjae	NA	370	364	100	[ _, _, _, _, _, _, _, _, _, _, _,  ]	NA
fp-paine	NA	29	16	NA	NA	NA
pt-eeg-ud	NA	429	399	100	[ _, _, _, _, _, _, _, _, _, _, _,  ]	NA
s-plgf	ng/l	288	184	0	[ 16.65, 58.5, 79.38, 106.91, 128, 159, 207.4, 287.6, 410.8, 646.24, 2480,  ]	NA
pt-kelipik	NA	65	63	100	[ _, _, _, _, _, _, _, _, _, _, _,  ]	NA
vp-gluk-1h	mmol/l	248	175	0	[ 3.6, 5.1, 5.8, 6.3, 6.6, 7.1, 7.7, 8, 8.56, 9.9, 14.6,  ]	NA
mpoabpika	NA	99	98	100	[ _, _, _, _, _, _, _, _, _, _, _,  ]	NA
s-verikoh	NA	786	449	100	[ _, _, _, _, _, _, _, _, _, _, _,  ]	NA
tyreotropiini	NA	456	164	100	[ _, _, _, _, _, _, _, _, _, _, _,  ]	NA
b-hb-ef	NA	81	78	100	[ _, _, _, _, _, _, _, _, _, _, _,  ]	NA
pt-utp-2	NA	277	275	100	[ _, _, _, _, _, _, _, _, _, _, _,  ]	NA
mittaustulos(mg/l)	NA	458	349	100	[ _, _, _, _, _, _, _, _, _, _, _,  ]	NA
s-hcg-tot	iu/l	31	19	NA	NA	NA
li-lymf	NA	98	95	100	[ _, _, _, _, _, _, _, _, _, _, _,  ]	NA
pf-l/liusk	NA	99	79	100	[ _, _, _, _, _, _, _, _, _, _, _,  ]	NA
pf-trigly	NA	243	218	100	[ 1.85, 1.85, 1.85, 1.85, 1.85, 1.85, 1.85, 1.85, 1.85, 1.85, 1.85,  ]	NA
s-t3-aab	NA	8	8	NA	NA	NA
pt-radjodh	NA	272	262	100	[ _, _, _, _, _, _, _, _, _, _, _,  ]	NA
s-kyhemag	titre	129	76	2	[ 1, 8, 16, 16, 16, 32, 128, 256, 512, 2048, 16384,  ]	NA
s-paroabg	NA	117	111	100	[ _, _, _, _, _, _, _, _, _, _, _,  ]	NA
crp-vt	NA	273	172	26	[ 5, 8.2, 12, 17, 24, 33, 46, 61.4, 91.6, 117, 228,  ]	NA
ts-pad-lau	NA	535	382	100	[ _, _, _, _, _, _, _, _, _, _, _,  ]	NA
mrsasevi	NA	516	242	100	[ _, _, _, _, _, _, _, _, _, _, _,  ]	NA
-d-dimqpik	mg/l	15	15	NA	NA	NA
p-mupet	NA	52	9	NA	NA	NA
fs-ca-7.40	mmol/l	987	387	0	[ 0.98, 1.19, 1.23, 1.25, 1.26, 1.28, 1.29, 1.31, 1.34, 1.38, 2.31,  ]	NA
epstein-barrvirus(ebv),nhkvantitatiivinen,plasmasta	NA	86	45	NA	NA	NA
s-muskab	u/ml	65	65	3	[ 0.01, 0.01, 0.01, 0.01, 0.01, 0.02, 0.02, 0.02, 0.03, 0.048, 0.28,  ]	NA
mrsa-perin	NA	913	424	100	[ _, _, _, _, _, _, _, _, _, _, _,  ]	NA
i-statcl	mmol/l	11	10	NA	NA	NA
s-vehnjae	u/ml	484	443	0	[ 0, 0.02, 0.03, 0.05, 0.09, 0.14, 0.278, 0.61, 1.194, 3.079, 1330,  ]	NA
ana	NA	18	18	NA	NA	NA
iga/pre	NA	7	7	NA	NA	NA
happisisältö,laskimoveri	NA	8	8	NA	NA	NA
emäsylimäärä,laskimoveri	NA	66	21	NA	NA	NA
s-kardabg	u/ml	82	63	0	[ 1, 1, 1, 2, 2, 2.5, 3, 4, 7.59999999999999, 22.8, 67,  ]	NA
fp-crp	mg/l	518	173	0	[ 10, 14, 18.4, 26.1, 35, 46, 56, 74, 109, 154, 281,  ]	NA
s-hevb11e	u/ml	27	27	NA	NA	NA
s-rhevb8e	NA	20	20	NA	NA	NA
b-bcr-qr	NA	1295	280	100	[ _, _, _, _, _, _, _, _, _, _, _,  ]	NA
p-gluk0h	mmol/l	69	61	0	[ 3.9, 4.5, 4.7, 5, 5.32, 5.7, 6, 6.4, 6.64, 7.02, 8.5,  ]	NA
amoxycilli	NA	180	177	100	[ _, _, _, _, _, _, _, _, _, _, _,  ]	NA
pf-phglula	NA	135	100	100	[ _, _, _, _, _, _, _, _, _, _, _,  ]	NA
pt-ekgpa48	NA	85	77	100	[ _, _, _, _, _, _, _, _, _, _, _,  ]	NA
pt-mies	NA	15	15	NA	NA	NA
s-mansike	u/ml	86	86	2	[ 0, 0, 0, 0, 0, 0.01, 0.01, 0.02, 0.0340000000000001, 0.206, 4.62,  ]	NA
pt-miestp	NA	151	134	100	[ _, _, _, _, _, _, _, _, _, _, _,  ]	NA
s-hepatiittib-virus,s-antigeeni,vasta-aineet	miu/ml	349	155	0	[ 11, 25, 47, 83.4, 115.6, 161, 215.6, 290.2, 491.4, 649.4, 996,  ]	NA
s-wnvab	NA	15	15	NA	NA	NA
s-psolab	titre	47	45	NA	NA	NA
s-testosteroni,vapaa,laskettu,seerumista	pmol/l	7	6	NA	NA	NA
pu-bakteeri,viljely2(aerobiviljely,pintamärkä)	NA	313	262	100	[ _, _, _, _, _, _, _, _, _, _, _,  ]	NA
p-b12-bc	NA	72	71	100	[ _, _, _, _, _, _, _, _, _, _, _,  ]	NA
u-prokre	g/mol	782	193	1	[ 3, 5, 7, 9, 11, 15, 19.5, 28.54, 55.54, 197.930000000001, 38667,  ]	NA
hoiopiaa-o	NA	22	20	NA	NA	NA
kissae	u/ml	182	167	0	[ 0, 0, 0, 0.01, 0.06, 0.175, 0.574, 1.185, 2.56, 8.08, 66.5,  ]	NA
cladhee	u/ml	168	157	0	[ 0, 0, 0, 0, 0, 0.01, 0.01, 0.02, 0.0459999999999999, 0.233, 18,  ]	NA
s-ihot-ab	NA	99	80	100	[ _, _, _, _, _, _, _, _, _, _, _,  ]	NA
ab-hb-co	NA	542	377	100	[ _, _, _, _, _, _, _, _, _, _, _,  ]	NA
s-envabcf	NA	84	75	100	[ _, _, _, _, _, _, _, _, _, _, _,  ]	NA
u-kemseul,u-veri-o	NA	181	81	100	[ _, _, _, _, _, _, _, _, _, _, _,  ]	NA
b-pseutro	e9/l	180	148	0	[ 6, 48.8, 77, 90, 105, 138, 156.4, 183.3, 222.2, 260.2, 452,  ]	NA
s-campaba	u/ml	46	45	NA	NA	NA
lisävast2	NA	509	484	100	[ _, _, _, _, _, _, _, _, _, _, _,  ]	NA
b-fii-d	form	139	136	100	[ _, _, _, _, _, _, _, _, _, _, _,  ]	NA
bm-dnamut	NA	104	90	100	[ _, _, _, _, _, _, _, _, _, _, _,  ]	NA
s-pähkier	u/ml	83	82	0	[ 0, 0.022, 0.05, 0.112, 0.298, 1.76, 2.702, 5.158, 11.78, 23.26, 96.8,  ]	NA
ttilmanp	NA	13	13	NA	NA	NA
f-cldivtx	NA	376	284	100	[ _, _, _, _, _, _, _, _, _, _, _,  ]	NA
fs-b12-vit	pmol/l	159	143	0	[ 119, 219, 270.6, 318.2, 351.4, 378, 407.2, 477, 565, 679.2, 1388,  ]	NA
ly-t-cd8	NA	232	170	100	[ 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20,  ]	NA
pikatnt	NA	271	214	100	[ _, _, _, _, _, _, _, _, _, _, _,  ]	NA
p-näytk10	NA	92	31	NA	NA	NA
p-tt-inrqc	inr	767	157	0	[ 0.9, 1.9, 2, 2.2, 2.4, 2.5, 2.6, 2.8, 3.1, 3.44, 7,  ]	NA
s-maissie	u/ml	50	50	NA	NA	NA
b-fidd-pt	mg/l	74	69	0	[ 0.1, 0.1, 0.2, 0.2, 0.3, 0.3, 0.4, 0.573, 0.994, 1.64, 3.1,  ]	NA
lymfosyytit-osuus(diffi)	%	199	147	0	[ 6.9, 22.64, 25.66, 27.18, 30.8, 34.1, 37, 39.2, 42.94, 48.88, 81.6,  ]	NA
basofiilit-osuus(diffi)	%	199	147	0	[ 0, 0.2, 0.3, 0.3, 0.4, 0.5, 0.6, 0.7, 0.940000000000001, 1.12, 11,  ]	NA
ts-padkolp	form	770	629	100	[ _, _, _, _, _, _, _, _, _, _, _,  ]	[100][NA,NA,NA,NA,NA,NA,NA]
b-vrab,tunnistus,spr	NA	9	9	NA	NA	NA
p-il2r	NA	77	71	100	[ _, _, _, _, _, _, _, _, _, _, _,  ]	NA
laboratoriopaketti	NA	84	76	100	[ _, _, _, _, _, _, _, _, _, _, _,  ]	NA
u-b2miglo	mg/l	129	84	0	[ 0.01, 0.048, 0.08, 0.124, 0.194, 0.45, 1.04, 3.836, 20.322, 47.158, 120.6,  ]	NA
l-eosinofiilit	NA	65	57	98	[ 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3,  ]	NA
s-bor-abm	ru/ml	37	31	NA	NA	NA
-bentulos	NA	90	75	44	[ 0.5, 1.78, 2.88, 3.77, 6.5, 12, 23.08, 49.83, 117.72, 183.79, 893.7,  ]	NA
-cantulos	NA	90	75	87	[ 1, 2.4, 7.4, 35.5, 88, 89.5, 92.2, 93.7, 94, 101.2, 102,  ]	NA
u-buprect	NA	1657	213	100	[ _, _, _, _, _, _, _, _, _, _, _,  ]	NA
pt-agr-psg(aktigrafia2japsg-amb–tutkimukset)	NA	29	29	NA	NA	NA
pt-pulssi	NA	28	28	NA	NA	NA
tk-pisteet	NA	38	38	NA	NA	NA
b-igshm-d	NA	46	42	NA	NA	NA
-trichophytoninterdigitale,nukleiinihappo	NA	24	22	NA	NA	NA
-trichophytontonsurans,nukleiinihappo	NA	24	22	NA	NA	NA
-trichophytonverrucosum,nukleiinihappo	NA	24	22	NA	NA	NA
-epidermophytonfloccosum,nukleiinihappo	NA	24	22	NA	NA	NA
pt-gluk,0	NA	131	110	100	[ _, _, _, _, _, _, _, _, _, _, _,  ]	NA
plasmankreatiniini(k)	umol/l	590	191	0	[ 32, 47, 54, 60, 68, 77, 88, 103, 129, 168.2, 525,  ]	NA
