TEST_NAME	MEASUREMENT_UNIT	TEST_ID	n_subjects
albumiini	NA	4586	14
s-dmklots	NA	1623687	14
s-mkomp-4	NA	4076554	14
s-vehnäek	NA	5705	14
bm-npm1-qr	NA	23125	14
s-gliadiinipeptidi,igavasta-aineet	au	9051	14
naisentpak	NA	20113	14
s-tyreoideaperoksidaasi,vasta-aineet	u/ml	4028	14
u-gluk-0	NA	00007	14
pt-krea-cl	ml/s	21460	14
s-pr3abgk	iu/ml	9379	14
p-at3	form	1103	14
du-metnor	NA	102337	14
u-hyalier	NA	318	14
s-reumafaktori,määritys	kiu/l	3550	14
f-noronho	NA	614907	14
-borrnho	NA	6004202	14
li-alb	NA	0292	14
p-krea-vieri	NA	606023	14
li-stpnag	NA	54147	14
s-aridhas	NA	10670	14
-pakfin3	NA	10850	14
b-konedif,neuttot	e9/l	PAIKALLINEN606376_NEUTTOT	14
ts-padbrea	NA	622692	14
mrsa-vi	NA	1004358	14
b-konedif,neut	%	PAIKALLINEN606376_NEUT%	14
s-ld3	%	9394	14
ab-happamuusaste	NA	10730	14
li-immfix	NA	3404	14
s-mkomp-3	NA	2917069	14
pt-verpavu	NA	11224	14
tromboplastiiniaika,pikatesti,veri	inr	23282	14
s-infbcf	NA	8232	14
anaerobi	NA	601816	14
p-myoglobiini	ug/l	4602	14
s-kaura(ravintoaine),igevasta-aineet	NA	5019	14
huumeseulonta4a(9577u-huum4a),alv	NA	9577	14
smycoplasmapneumoniae,abgvasta-aineet	NA	4150	14
tumavasta-aineet(ana)	NA	2819	14
s-dpteroe	NA	10015	14
k2-vitamiini,menakinoni-4(mk4)osatutkimus	NA	10453	14
pt-valtiu[	NA	6202	14
u-gcnhot	NA	9012	14
u-ph	NA	00024	14
u-vahlier	NA	335	14
-infvnho	NA	607222	14
glom.suod.nopeusckd-epi	NA	90062	14
s-suolistoisoentsyymi(afos)	NA	11884	14
inrvieritesti	inr	9040	14
ps-streptokokki,jatkoviljely	NA	4167	14
l-eosinofiilit	NA	598	14
eml4-alk	NA	4037	14
pt-enmg-l	NA	20355	14
s-hbe	NA	8570	14
li-huab	NA	21124	14
s-yer9ab	titre	54274	14
fp-pth	ng/l	104560	14
s-klotsa	umol/l	1103964	14
s-dnan-ab	titre	1261	14
l-monosyytit	NA	197	14
bakteerit	NA	20034	14
l-lymfosyytit	NA	191	14
ts-mgmtmet	form	9849	14
s-afluu	%	10287	14
s-amyl-is	form	1083	14
s-turskae	u/ml	9314	14
b-jak2-d	NA	602616	14
b-sirolim	ug/l	6086	14
treg/cd3	%	14207	14
coladp	NA	12969	14
s-koivue	NA	10029	14
p-troponiinit(kval),pika	NA	4532PIKA	14
fp-kalsium,ionisoitunut	NA	2019	14
b-cmvnho	NA	1010532	14
b-ly	%	0223	14
p-prealb	g/l	1623677	14
-ctgcnho,-chtrnho	NA	619309_1	14
s-fenob	NA	1387	14
-listnho	NA	21973	14
s-rprup1e	u/ml	7334	14
s-maitoe	u/ml	3836	14
pt-cert	NA	19566	14
ruoka-aine-erittely(fx5),igevasta-aineet(s-ruok5er)	NA	7172	14
s-prl	NA	4002507	14
s-ck-mb	NA	2135	14
s-ttgabg	NA	604352	14
s-ceaver	NA	22680	14
u-k	mmol/l	102004	14
transf-sat	NA	10359	14
pakettis-b12-vitamiini	pmol/l	1137	14
as-muut	NA	0686	14
s-maapähe	u/ml	53079	14
s-allcome	NA	5719	14
l-blas	NA	45072	14
audit	NA	10094	14
p-alb	g/l	619242	14
s-legduab	NA	9353	14
e-mchc	pg	1557	14
p-tt	form	1731	14
p-ca19-9	NA	3412	14
u-albkre	mg/mmol	614987	14
vb-laktaat	mmol/l	629151	14
pe-nstar	NA	242	14
l-ly	%	0411	14
pt-sper-iu	NA	8245	14
s-tshrab	iu/l	603006	14
p-antifxa	u/ml	2103828	14
huumenotto	NA	10803	14
s-tygl-va	u/ml	618056	14
s-afmaksa	%	10677	14
s-ris+9hr	NA	11399	14
fl-tricnat	NA	0444	14
oma-b-fidd	NA	7351887	14
b-mal-hus	NA	2315	14
glomerulussuodosnopeus,estimoitu,ckd-epi-tutkimuksenkaava	ml/min/173m2	6354	14
cd138-ex	NA	5577427	14
diabeteksenaiheuttamiensilmänpohjamuutostenseulontavalokuvaushus	NA	132819	14
li-igg	mg/l	0238	14
e-coombs,suora(polyspesifinenantiseerumi)(kva	NA	3015	14
u-gralier	NA	332	14
s-c-pept	nmol/l	576	14
s-c-anca	NA	601925	14
s-havab	NA	6003346	14
li-prot	mg/l	6002514	14
bm-aspir-h	NA	18300	14
b-cd19	NA	10826	14
fp-kol-hdl	NA	619180	14
s-hs1-2abg	NA	25050	14
s-crneag	NA	21083	14
s-igg	g/l	101676	14
s-iga	NA	627941	14
s-borrabm	NA	600996	14
b-tvk	NA	628129	14
virtsanliuskatesti	NA	1155	14
fentanyyli	NA	14042	14
ts-gas1-tk	NA	1615539	14
s-pujospe	NA	641334	14
b-myelmut	NA	651161	14
u-prot-0	NA	00027	14
b-hba1c	form	6128	14
u-krea	NA	0198	14
u-albumiini-kreatiniinisuhde	NA	4511	14
p-krea+gfrviitasaar	NA	6002	14
l-baso	NA	0360	14
s-seitie	NA	14050	14
p-metanef	nmol/l	9015	14
vb-lämpöti	NA	5008	14
fp-renin	NA	2103603	14
s-evircf	titre	8229	14
mrsaperin	NA	1627349	14
s-echiab	od	1285	14
-infbag	NA	3004416	14
du-prot-fr	form	2520	14
s-adencf	NA	8226	14
s-hevabg	NA	3658122	14
esikmm	NA	91002	14
b-clcn1-d	NA	4990	14
u-hcg-o	NA	9784	14
s-vlseabg	NA	614998	14
b-monos	%	0230	14
du-hva	NA	3001634	14
keliakiatutkimus,laaja	NA	4	14
s-puumavi	NA	1104453	14
-hibnho	NA	21972	14
bl-talt.kt	NA	50461	14
f-calpro	NA	3741855	14
s-stpn11a	NA	92495	14
s-gh	ug/l	2035	14
s-ruoka-aineryhmäosat	NA	9304	14
s-homeer	u/ml	0646	14
b-konedif,lymph	%	PAIKALLINEN606376_LYMPH%	14
f-hhb-o	NA	644982	14
p-ck	NA	603188	14
s-maksaab	NA	10290	14
s-cystab	NA	1830	14
tyreoglobuliini	ug/l	2828	14
p-gluk-0	mmol/l	132	14
pika-hb-o	NA	9113	14
p-crpvieri	mg/l	1217	14
li-igg-oc	NA	619646	14
pt-paino	kg	5057	14
s-yskät	NA	07902	14
s-aspfume	u/ml	5027	14
s-ca-ion	NA	632112	14
u-gc-ohy	NA	9012	14
s-hivabag	NA	11470	14
-epiflonho	NA	10504	14
b-ko/adp3	NA	10376	14
b-mpl-d	NA	13906	14
-trichonho	NA	10502	14
s-aspflag	NA	9530	14
21937	NA	21937	14
enkefaliittienimmunologisettutkimukset,vasta-aineetseerumista	NA	21780	14
ly-t-cd4.	%	13895	14
du-proteiini,(du-prot-fr,valetietue)	g	0631	14
bm-mrdpfc	NA	6350	14
s-munakee	NA	7077	14
s-emabg	titre	4391	14
li-varicella-zostervirus,nukleiinihappo(kval)	NA	10871	14
p<u+0096>vwf-akt	%	7370941	14
-bopevi	NA	2472	14
s-enaseul	NA	3663181	14
u-aika	t	5070	14
l-promyel	NA	9209	14
p-fix	NA	3001211	14
u-baktvi	NA	629060	14
b-rhdgrav	NA	8999	14
virtsam.	ml	0502	14
s-mkomp-1	NA	2917067	14
b-crppika	mg/l	1216	14
s-hs-crp	mg/l	11030	14
leukosyytit,erittelylaskenta,nivelneste	NA	3129	14
tcrgd-cd8	%	13831	14
valkosolu,v-a,värjäytymiskuviop	NA	9318	14
lisämaksukiireellisenäpyydetyllenäytteelle	NA	10419	14
b-hba1cp	mmol/mol	2897045	14
p-natriureettinenpeptidi,b-tyypin(32-)(pi)	ng/l	4709	14
s-toxoab	NA	2895385	14
fp-nh4-ion	umol/l	1001071	14
s-cmvcf	NA	708	14
f-tbvi	NA	17948	14
b-xkoespr	NA	2937	14
b-ngsmmt2	NA	22064	14
f-noronho	NA	609394	14
fp-ctx	ng/l	11678	14
e-mchc	NA	PAIKALLINEN1101557	14
u-albkre	NA	656623	14
s-campabm	NA	6003293	14
s-hepyabg	NA	4003954	14
ps-strvi	NA	109	14
b-cya	NA	3003606	14
kal	NA	10486	14
f-mm-touk	NA	16113	14
b-kromi	NA	13010	14
näytkäshe	NA	23105	14
s-hsv2abg	responseequivalent	1864	14
ts-padgast	NA	0063	14
fosfaatti,epäorgaaninen	mmol/l	1431	14
f-hepynho	NA	6314	14
s-dna,vasta-aineet(natiivi)	NA	1261	14
b-mpadp	NA	14087	14
b-vrisägr	NA	20629	14
b-m.tuberculosis-herkistyneetsolut,gammainterferoni,eritys	NA	6173	14
p-lupusak.	NA	1607045	14
s-ruokae	NA	5700	14
mrsaneni	NA	1627348	14
-potilaantunnistus	NA	499	14
e-coombs,suora(mono-taipolysp.antiseerumi)(	NA	3015	14
frk-bak	NA	9100	13
s-hepatiittia-virus,igm-vasta-aineet	NA	1602	13
as-sameus	NA	11126	13
u-kemseu,leuk	NA	1881_LEUK	13
b-diffi,l-eos	%	102225_2	13
b-retlnd	NA	7714	13
-poxpak	NA	15392	13
p-ca19-9	NA	7037271	13
s-chpnab	NA	602890	13
p-egfr-d	NA	8000	13
f-paranho	NA	4078229	13
huumepakettiu-4a	NA	4222	13
u-alb	mg/l	0051	13
-ctgcnho	NA	7010461	13
fl-strbvi	NA	617543	13
u-intoks	NA	11045	13
s-asta	NA	6001100	13
s-allergeeni,koivu(siitepöly)/björk(pollen)	u/ml	9305	13
s-lamotri	umol/l	1104328	13
heinär.gx3	NA	1000968	13
p-hcg-tot	iu/l	2651620	13
p-porf-o	NA	10064	13
fp-rauta(osat.)	umol/l	4529	13
-chlamydiapneumoniae,nukleiinihappo(kval)	NA	4384	13
d-dimeeri	mg/l	4750	13
b-intem	NA	9884	13
du-metnor	NA	602008	13
s-ruoat	NA	10025	13
fp-urea	mmol/l	620718	13
p-k-hoi	mmol/l	9911376	13
p-haptog	NA	14804	13
u-bupre-o	NA	9112	13
-prea	NA	9005	13
f-hemoglobiini,humaani(kval)	NA	3181	13
terveys	NA	7957	13
s-chpnabm	NA	1604756	13
p-gluk-2	mmol/l	1604627	13
s-asta	NA	1001100	13
u-huume-5b	NA	10038	13
u-ds6	NA	10366	13
la-cd34-os	NA	13033	13
f-salmhyg	NA	17812	13
p-tpoab	u/ml	615462	13
s-enteabg	NA	54283	13
f-ehisnho	NA	643264	13
p-vwf-akt	NA	642703	13
aerobivi	NA	2208	13
f-salmvi	NA	PAIKALLINEN606784	13
s-bopeab	NA	1610824	13
u-suhti	NA	12579	13
-intem/ml	%	98847	13
f-ehisnho	NA	1653454	13
e-abo-spr	NA	0923	13
ly	NA	0967	13
s-sakspäe	NA	8240	13
glukoosinosoitusvirtsasta	NA	11111111	13
-esblvi	NA	607150	13
b-cd4	NA	10823	13
b-thb	NA	3000110	13
e-rdv	NA	19976	13
s-w-h:b	titre	54317	13
s-el�i1er	NA	7162	13
f-crypvr	NA	6003444	13
s-borreliaburgdorferi,igmvasta-aineet(ko)	NA	4095	13
s-pemfiab	u/ml	9055	13
s-amyl	u/l	0406	13
s-pensppe	NA	10457	13
f-crypnho	NA	1653453	13
p-tnt-vt	ng/l	648055	13
aktiv-cd4	NA	14209	13
s-keliakiapakseulonta	NA	07979	13
s-insuaab	ru	3847	13
l-promyel	NA	1654832	13
lymängd	NA	0968	13
pt-pco-ex	NA	620677	13
omab-keto	NA	9000	13
obduktio	NA	4069	13
soijapapu	NA	1000178	13
s-allige,dermatophagoidespteronyssinus,pölypunkki/dammvalster	u/ml	5024	13
nitriitinosoittaminenvirtsasta	NA	77777777	13
p-fviii.	NA	606171	13
s-thevulg	mg/l	13575	13
sieni,viljely	NA	3509	13
fb-folaat	nmol/l	10035	13
hepar.veri	NA	19228	13
s-allige,pekaanipähkinä/pekannöt	NA	5421	13
s-ascabg	NA	9365	13
s-hernee	NA	7059	13
s-afos-is	NA	1606564	13
bm-lcd34	NA	13618	13
hepatiittibvirus,c-antigeeni,igm-vasta-aineet	NA	3347	13
histamiini	mm	01111	13
b-hla1	NA	9083	13
s-hamsepe	NA	7031	13
s-psa-v/t	NA	602717	13
f-crypnho	NA	643263	13
strpika	NA	2706	13
ab-vekaas5,ph	NA	622053_1	13
u-as-i	nmol/l	1734	13
testosteroni,vapaalaskettu	NA	6451	13
s-sakspäe	u/ml	11630	13
pituus	cm	PYL257	13
li-oreksa	NA	4943	13
as-väri	NA	11127	13
s-timospe	NA	641349	13
s-legboab	NA	9354	13
p-tt-hus	%	21731	13
p-pc	NA	1103435	13
b-cd8	NA	10824	13
s-testo-vl	NA	102736	13
ab-standardibikarbonaatti	mmol/l	10733	13
huumeseulonta5b(u-huum5b)	NA	9580	13
s-leggoab	NA	9351	13
kalsium,ionisoitunut(akt)	NA	5097	13
virtsanhappamuus/emäksisyys	NA	55555555	13
b-dio2-d	NA	09463	13
u-altpk-l	NA	10719	13
p-larvvct	NA	7355763	13
pt-ttlait2	NA	22142	13
u-hcg	u/l	2102123	13
b-diffi,l-plast	%	102225_9	13
s-leppspe	u/ml	7018	13
diab.biop	NA	T071	13
di-leuk	e6/l	0972	13
s-amylp	u/l	0408	13
s-cladhee	u/ml	607085	13
-infbag	NA	600748	13
s-adencf	NA	1607106	13
pt-keli-su	NA	10006	13
sy-leuk	e6/l	9539	13
s-sentab	u/ml	6003652	13
p-gluk-2t	mmol/l	135	13
u-intp	ratio	23321	13
troponiinit,vieritutkimus	NA	11332	13
vb-be	mmol/l	1606710	13
s-koiheie	u/ml	1600033	13
s-afmakro	NA	2606547	13
21583	NA	21583	13
21832	NA	21832	13
-hhpvnho	NA	2630006	13
pt-alavduä	NA	20828	13
s-glpepabg	NA	54036	13
troponiinit(4532p-tnt)	NA	4532	13
s-k	NA	3002001	13
s-hepfu	NA	6234	13
la-hb	g/l	13440	13
fe-folaat	NA	2606624	13
m.faeni	NA	8012	13
vb-vekapoc	NA	50519	13
e-abo-spr	NA	17815	13
s-mehmyre	NA	403	13
ex-tbvrvi	NA	606765	13
-pin2ag	NA	3001907	13
e-cmbiga	NA	2606707	13
p-pct	NA	11659	13
u-kreintp	mmol/l	652541	13
li-fosftau	ng/l	4809	13
p-fxiii.	NA	20577	13
bm-tumsol	NA	12242	13
di-neut	NA	0654	13
middleeastrespiratorysyndromecoronavirus	NA	23317	13
maapähkinä	NA	1000198	13
s-lamotrig	umol/l	4328	13
audit-c	NA	605208	13
-infvnho	NA	607223	13
s-yep3abm	NA	8370	13
p-bil	umol/l	6701	13
tyreoglobuliini,seerumista	ug/l	2828	13
s-hcvab-o	NA	625869	13
b-xkoe	NA	647944	13
s-tbeabg	vieu/ml	2552	13
fs-c-pept	nmol/l	4002503	13
s-rnpo2ab	NA	21119	13
p-monab	NA	102358	13
p-alb	g/l	603030	13
bm-lmark-h	NA	3008355	13
p-rf	iu/ml	10067095	13
p-korsol	nmol/l	10067094	13
pt-iho-r3	NA	1103892	13
f-kystat	NA	16114	13
du-alb	NA	4601092	13
-intem/a5	mm	98844	13
du-a1miglo	mg	51310	13
b-tvk	g/l	3696	13
ab-vekaas5,pco2	kpa	622053_2	13
borrelia,igmvasta-aineet	NA	4096	13
14397	titre	14397	13
hivagab/ko	NA	620299	13
s-äit-seul	NA	628489	13
s-myplcf	NA	1607113	13
s-hevabm	NA	7370642	13
ts-terveyskeskuksenhistologinentutkimus	NA	861	13
s-epstein-barr-virus,vasta-aineet	NA	1335	13
s-niitnue	u/ml	1600026	13
näytepapa	NA	10013	13
s-munavae	u/ml	3836	13
fs-trfesat	NA	627432	13
pt-keli-su	NA	10283	13
p-igm	g/l	614134	13
p-plab	NA	45795	13
p-kardabg	u/ml	1607049	13
s-hopöige	NA	8542	13
s-borabgvosat.	NA	14525	13
s-nurnate	u/ml	1600031	13
s-rnapol3	NA	5592153	13
b-pvk+tkd	NA	1602927	13
u-kemseu,eryt	NA	1881_ERYT	13
u-alb	NA	4511	13
vb-hco3-st	mmol/l	1606709	13
s-serto	mg/l	9436	13
b-diffi,l-myel	%	102225_7	13
u-opiaact	NA	3001902	13
s-tox-avi	NA	3909	13
s-gamma	g/l	621118	13
ns-neutrofiilit	NA	2396	13
s-akuutinhepatiittib-viruksentutkimuspaketti	NA	8441	13
s-cladosporiumherbarum(m2),ige-vasta-aineet	NA	7121	13
s-bopeabm	NA	4003313	13
vuoto-oirekyselynpistemäärä?	NA	Vuo1438	13
virtsansokeri	NA	19005	13
s-epstein-barr-virus,igmvasta-aineet	NA	1337	13
li-hhv7nho	NA	12878	13
mk4-7,työterveyshuollonperuspaketti	NA	9052	13
fp-gastr17	pmol/l	9448	13
sy-mononuk	%	3000283	13
s-gliadiinipeptidit,deamidoidut,igavasta-aineet	NA	6300	13
du-alb	NA	618179	13
pu-baktvi1	NA	602150	13
b-fidd-o	NA	8203	13
11821	NA	11821	13
b-diffi,l-neutr	%	102225_1	13
allergeeni,ruoka-aineryhmä,erittelyjakomponentit,igevasta-aineet	u/ml	14246	13
b-hb	g/l	10001	13
b-diffi-k	NA	1605270	13
sien-na	NA	2630	13
pöly-s	u/ml	9693	13
s-desialotransferriini	u/l	VI4101	13
ribonukleoproteiini,nukleaarinen,vasta-aineet,seerumista	u/ml	3317	13
s-prealbumiini	mg/l	2494	13
s-aurpule	NA	0028	13
f-diennho	NA	643265	13
s-pincf	titre	8234	13
farmakogeneettinentestipaneeli,verestä	NA	12533	13
s-neulanpisto,verenlähde	NA	54245	13
fl-baktvr	NA	3635269	13
b-diffi,l-promyel	%	102225_8	13
s-rhevb3e	NA	13685	13
pika-u-kemseul	NA	623895	13
s-aldos-p	pmol/l	2101037	13
s-helicobacterpylori,iggvasta-aineet	NA	VI3954	13
s-epstein-barrinvirus,vasta-aineet	NA	1335	13
pt-skoorah	NA	1664540	13
p-b2gpabg	NA	603444	13
p-alb	g/l	9358	13
p-tnt	ng/l	600742	13
s-amyl	u/l	8084	13
l-lymf	%	1654839	13
s-tyreoglobuliini	ug/l	2828	13
s-k/l-s-v	NA	4951	13
s-inhibb	ng/l	10135	13
f-vichvi	NA	2094	13
strbag	NA	1729	13
pt-amy-pet	NA	21371	13
du-proteiini(kok.)jatkoa	ml	0239	13
p-ca15-3	u/ml	1103587	13
11618	NA	11618	13
f-paranho	NA	1653531	13
f-calpro	NA	3896466	13
pf-bakteeri,värjäys	NA	786	13
s-chtrabg	titre	4100	13
du-mta	NA	3003873	13
s-vzvabm	NA	600931	13
as-prot	g/l	3002512	13
p-fibr	g/l	6001399	13
s-hund	u/ml	5009	13
s-kopept	NA	644483	13
p-igg	g/l	1623682	13
sy-väri	NA	0515	13
fs-lipob	g/l	1102248	13
l-sauv	NA	9201	13
fs-sappih	NA	608311	13
f-noronho	NA	612932	13
fp-pi	NA	605253	13
s-estdiol	nmol/l	9468	13
s-halop	NA	3949	13
thoraxinröntgenmakuuasennossa	NA	109568	13
kudosnäytt.histol.tutk.,suppealeikkauspreparaatti(ts-pad-3)	NA	4056	13
u-rstsup	NA	11017	13
s-mypnabm	form	4151	13
-rsvnho	NA	627252	13
s-virab	NA	1607270	13
kalium(verikaasulaite),kapillaariveri	mmol/l	23220	13
fl-strbvi	NA	1011325	13
s-rsvcf	NA	1607107	13
p-lh	u/l	627738	13
cu-alb	NA	618161	13
p-natriureettinenpeptidi,b-tyypinn-termin.prop	ng/l	4760	13
s-hsv2abm	NA	12053	13
l-eos	%	1654836	13
anaervi	NA	2350	13
vb-pco2	kpa	1101623	13
s-sumrisp	nmol/l	13260	13
d-hsv1abg	NA	22415	13
b-fidd-pika	mg/l	100004	13
s-ceakaj	ug/l	17252	13
str-apika	NA	2706	13
vertca12-5	u/ml	0800	13
p-trombai	s	600658	13
li-ebvnho	NA	12876	13
di-solut	NA	3743	13
p-antitro	NA	1103	13
s-yerp1ab	titre	621140	13
b-crcomom	NA	2147	13
u-hcg-o/p	NA	1102124	13
p-bil	NA	1604616	13
s-iga	NA	6001666	13
s-borrabm	form	4096	13
s-bopeabg	iu/ml	103312	13
s-infbcf	NA	1607105	13
fl-bakteerivärjäys	NA	54013	13
crp-pika	mg/l	102	13
s-bopeaba	NA	2103311	13
b-ko/adp2	s	614899	13
b-diffi,l-lymf	%	102225_4	13
ts-aches-o	NA	4036	13
s-dpteroe	NA	641222	13
du-vm	ml	607892	13
p-gluk60	mmol/l	625704	13
-vzvnho	NA	6001781	13
omena	NA	181	13
s-mpnabcf	titre	54220	13
s-hcg-b-v	ug/l	613427	13
b-vrabtu1	NA	102955	13
s-psa-v/t	%	603281	13
s-ca15-3	u/ml	1103587	13
laktaattidehydrogenaasi	u/l	4526	13
s-infacf	NA	1607104	13
p-fibriinidimeerit,pika	mg/l	4113PIKA	13
sy-mononuk	NA	50625	13
s-aminors	nmol/l	10222	13
munuaisenhistologinentutkimus	NA	4067	13
fp-laktaat	NA	1002184	13
eos	%	0602	13
s-morbab	NA	610766	13
u-lieriöt	NA	9244	13
s-kalsium,ionisoitunut	NA	3673	13
pt-aika-tilavuusspirometriajabronkodilaatiokoe	NA	2671	13
p-at3	%	101103	13
-tetyöel	NA	11126	13
s-rnpo1ab	NA	21118	13
ly-cd4-8-	NA	8464	13
-infaag	NA	603724	13
bm-trom	NA	12241	13
u-amf-o	NA	9100	13
s-hevabg	NA	7370641	13
b-eos	e9/l	2225	13
b-expand-d	NA	14361	13
f-giarnho	NA	1653452	13
-intem/cft	s	98842	13
fs-transf	NA	102756	13
s-ruokae	u/ml	10182	13
p-prealb	mg/l	2607347	13
ts-ohutneulatutkimus	NA	3990	13
b-diffi,l-bas	%	102225_3	13
s-havtot	NA	50044	13
du-iglcl	NA	1003833	13
l-myelos	NA	1654833	13
ohutneulanäyte	NA	3990	13
l-baso	%	1654837	13
kiivi	u/ml	190	13
u-ph-huu	NA	1606671	13
s-afsuoli	%	9131	13
p-fsh	NA	627752	13
happamuusaste,valtimoveri	ph	1527	13
ts-idh1/2d	NA	92542	13
p-na-hoi	mmol/l	9911375	13
p-vzvnho	NA	22420	13
s-toksoplasma,igmvasta-aineet	NA	2750	13
s-k/l-ex	ratio	23386	13
p-asat	NA	1128	13
glutamyylitransferaasi-desialotransferriini,seerumista	NA	11003	13
gfr-e-epi	ml/min/173m2	12200	13
u-kemseu,ph	NA	1881_PH	13
ps-infaag	NA	608795	13
pt-pystyasennonsietokoe	NA	4933	13
s-pensppe	NA	0881	13
s-peak-1	g/l	8956	13
pt-krea-cl	ml/s	2146	13
b-diffi,l-metam	%	102225_6	13
nainen50+	NA	10106	13
f-helicobacterpylori,antigeeni	NA	VI3952	13
pt-kiire	NA	607170	13
ex-baktvi	NA	103493	13
s-paragab	NA	20841	13
l-lymfosyytit	NA	371	13
fl-hiiva-o	NA	0321	13
pt-suoli	NA	10622	13
b-cmtngs-d	NA	13759	13
s-w-h:i	titre	54320	13
21623	NA	21623	13
u-ds6huumeseulonta	NA	31	13
s-infliksimabi,paketti	NA	50528	13
f-cldtnho	NA	621268	13
nu-5c-porf	nmol/l	21409	13
b-fosfatidyylietanoli,verestä	umol/l	14303	13
d-hsv2abg	NA	22416	13
p-lipiditeipaast	NA	60272	13
influenssab	NA	25049	13
pt-ateriakoe(c-peptidimääritys)	NA	101	13
s-tuma,liukoisetva	NA	9292	13
li-hhv6abg	eiu	4579	13
cp-gluk	NA	9205	13
bakteeri,viljely,suonikanyylista	NA	4753	13
ttilmanp	NA	10268	13
s-alfa-2	NA	9326	13
ab-happiosapaine	kpa	10731	13
sp-pesud	NA	22127	13
f-hemoglobiini,ihmisen(kval),ulosteesta	NA	3813	13
s-enaplus	NA	10551	13
s-koivue	NA	600024	13
s-emabg	NA	1104391	13
s-lam-ex	mg/l	23384	13
hcvab-o/ko	NA	620298	13
pt-unih	NA	11247	13
s-hevab	NA	7370643	13
u-kappa	NA	11086	13
fl-tric-o	NA	0320	13
p-probnp-osoitus	ng/l	50400	13
p-gluk-1t	mmol/l	134	13
s-dfarine	NA	7103	13
s-ro214e	u/ml	20429	13
p-hepyabg	eiu	10351	13
glomerulussuodosnopeus,estimoitu,kreatiniini-kystatiinic	NA	10300	13
munanvalkuainen	NA	5013	13
bakt	NA	10031	13
naivit-cd8	NA	13832	13
b-mxa	NA	18436	13
fp-trigly	NA	4530	13
eläinall.1	NA	1000511	13
cldinho	NA	619025	13
pt-no-ex	form	4812	13
meh.myrkky	u/ml	992	13
s-allige,timotei/timotej	u/ml	5001	13
b-tvk	fl	3696	13
antifaktorix-aktiivisuus	NA	3828	13
s-p-ancab	titre	09002	13
-intem/a15	mm	98846	13
naudanliha	u/ml	275	13
sy-neut+eo	NA	50624	13
-pin3ag	NA	3001908	13
b-rethe	NA	7715	13
s-c-pept	NA	635431	13
du-krea	NA	6002141	13
pikau-sti,u-ph	NA	39002_U-PH	13
s-pincf	NA	1607108	13
u-chtrnho	NA	602865	13
s-gpenige	u/ml	3242	13
s-campabg	NA	6003292	13
s-hcvnhty	NA	3001859	13
s-borrelia,igmvasta-aineet	ru/ml	4096	13
s-ige3pöl	NA	602667	13
gt-cdt-ind	NA	4104	13
-hcvnhty	NA	1604754	13
fp-e-vitamiini	umol/l	11398	13
virtsansuhteellinentiheys	NA	33333333	13
s-havtot	NA	7375484	13
s-legp2ab	NA	9343	13
p-pc	NA	600651	13
b-neut	e9/l	2225	13
pt-bronkod	NA	3945176	13
e-cmbigg	NA	2606705	13
ts-pad-1	form	4054	13
s-timotei,igevasta-aineet	u/ml	5001	13
u-orotaat	NA	4248	13
pf-leukmuu	NA	50139	13
fp-ohbutyr	NA	4854	13
s-dpteroe	u/ml	600049	13
s-pölyer	u/ml	641335	13
s-tshrab	iu/ml	4965	13
sy-rf	NA	0865	13
s-immuno	NA	10008	13
s-rsvab	NA	4385	13
u-trypg2	ug/l	3004175	13
s-rarah8e	NA	9667	13
f-diennho	NA	1653455	13
s-ttgabg	NA	600933	13
s-rottae	u/ml	7047	13
s-raiheie	u/ml	1606532	13
f-giarnho	NA	643262	13
du-na	mmol	1102376	13
di-ly+mono	NA	0655	13
fs-glukoosi	NA	VI1469	13
p-fviiiab	bu/ml	1098	13
p-reniinm	mu/l	6339	13
influenssaarna-osoitus(h1n1)	NA	4896	13
fe-folaatti	nmol/l	1414	13
b-leuk	e9/l	600773	13
p-glu/2h	NA	632912	13
s-varasto	NA	T072	13
sy-sameus	NA	0514	13
fp-c-pept	nmol/l	629469	13
b-eos	e9/l	1654841	13
gluk-vt	NA	256	13
pakettis-tyroksiini,vapaa	pmol/l	2836	13
baso	%	0603	13
bm-eryt	NA	12240	13
solujenmorfologinentarkastelu(hematologinlausunto)	NA	2643	13
14244	NA	14244	13
ihottumanäytteenkoepala	NA	4184	13
p-fviiit	NA	14002	13
-virem	NA	4470	13
pt-glomerulustensuodatusnopeus,estimoitu,mdrd-kaava	ml/min/173m2	6000	13
b-varasto	NA	T073	13
pt-obd-1	NA	2104069	13
pt-ekg-hoi	NA	637114	13
bu-gran	%	285	13
s-dsg3ab	iu	4806	13
s-heiner	NA	618651	13
cp-gluk	NA	619811	13
s-sm-vasta-aineet(blotting)	NA	9393	13
s-legp1ab	NA	9342	13
p-hepyabg	NA	21052	13
s-kolaigg	NA	13568	13
s-pölyer	estimate	7154	13
p-psa-suhd	%	4868	13
s-puum-abm	NA	3528	13
s-amyls	u/l	0407	13
s-dgpab	NA	639963	13
s-teicopl	mg/l	1944	13
sars-cov-2antigenrapidtest,roche(sdbiosensor)(7905,-cv19ag5)	NA	7905	13
ln-imusolmukkeenimmunofenotyypitys	NA	11825	13
sy-neut+eo	%	3000272	13
p-gluk-a2	NA	2630684	13
s-stpn15b	NA	92497	13
ghb-a1c-pi	NA	617340	13
luuntiheysmittaus,2kohdetta(nk6qa),ilmanlausuntoa	NA	9007	13
